
Organisation for Economic Co-operation and Development 

OECD Existing Chemicals Database
	
Click on an item ...

    Home
    Search
    SIDS contacts
    Sponsored chemicals
    Category chemicals
    Help

 
Reports

    Overall Status
    All Sponsored Substances
    Publications

 

	
List of all chemicals

CAS number	Chemical Name	Synonyms
96-22-0	3-Pentanone	Pentan-3-one
96-24-2	1,2-Propanediol, 3-chloro-	3-Chloropropane-1,2-diol
96-29-7	2-Butanone, oxime	2-Butanone oxime
96-31-1	Urea, 1,3-dimethyl-	1,3-Dimethylurea
96-33-3	Methyl acrylate	2-Propenoic acid, methyl ester
96-34-4	Methyl chloroacetate	Acetic acid, chloro-, methyl ester
96-37-7	Methyl cyclopentane	 
96-48-0	2(3H)-Furanone, dihydro-	gamma-Butyrolacetone
96-49-1	1,3-Dioxolan-2-one	 
96-76-4	Phenol, 2,4-di-tert-butyl-	2,4-Di-tert-butylphenol
97-00-7	Benzene, 1-chloro-2,4-dinitro-	1-Chloro-2,4-dinitrobenzene
97-02-9	Aniline, 2,4-dinitro-	2,4-dinitroaniline
97-36-9	Acetoacetanilide, 2',4'-dimethyl-	2',4'-dimethylacetoacetanilide
97-39-2	Guanidine, N,N'-bis(2-methylphenyl)-	 
97-52-9	Aniline, 2-methoxy-4-nitro-	 
97-63-2	Ethyl methacrylate	Methacrylic acid, ethyl ester
97-64-3	Ethyl 2-hydroxypropanoate	 
97-65-4	Butanedioic acid, methylene-	Itaconic acid
97-72-3	Propanoic acid, 2-methyl-, anhydride	iso-Butyric anhydride
97-74-5	Thiodicarbonic diamide, tetramrthyl-	Tetramethylthiuram, monosulfide
